frame,x,y
0,192.4732,192.53766
1,192.3157,192.3219
2,196.52591,189.71938
3,196.39938,189.79828
4,196.42792,189.79561
5,197.21626,189.03091
6,201.18484,186.63026
7,201.13959,186.75774
8,201.12785,186.75912
9,204.61328,184.64288
10,204.26889,183.0142
11,204.3061,183.04532
12,207.25339,183.2735
13,206.98718,181.93451
14,206.98904,181.90189
15,206.11273,181.66887
16,209.06227,179.5769
17,209.20528,179.37863
18,209.22777,179.4335
19,210.25677,176.31404
20,209.99619,176.09264
21,209.99521,176.09439
22,210.7166,171.9328
23,210.7294,172.0353
24,210.64111,171.72678
25,211.42772,169.49236
26,207.96805,169.31691
27,207.97339,169.31163
28,207.96683,169.32184
29,209.78365,165.9921
30,209.78691,166.01495
31,209.77948,166.03906
32,207.16254,164.16525
33,202.51918,164.00986
34,205.5181,163.37796
35,201.84106,163.89014
36,198.76385,162.12115
37,198.72115,162.16928
38,198.70319,162.10617
39,192.94601,162.29144
40,192.82819,162.35014
41,192.77809,162.35403
42,190.42027,162.57762
43,186.15176,164.25204
44,186.13446,164.29492
45,186.08603,164.40106
46,182.80989,167.14038
47,180.5478,167.15994
48,179.06693,168.61792
49,178.16449,169.3502
50,174.66016,171.24924
51,173.31548,169.78615
52,174.25534,172.36218
53,166.23032,171.98714
54,166.24518,172.22948
55,166.31523,172.20374
56,163.4817,176.77664
57,163.1189,176.56476
58,162.96953,176.28612
59,155.39267,178.02722
60,152.8627,177.85439
61,152.81975,177.72018
62,150.6654,178.63448
63,138.2343,179.84845
64,138.22096,179.67213
65,138.10881,179.63986
66,130.25485,183.1941
67,130.22658,183.1867
68,130.33649,183.15363
69,124.85106,186.95898
70,125.019775,187.0279
71,125.09166,187.08926
72,122.55184,187.53477
73,114.817665,187.16785
74,114.44933,187.4527
75,114.5235,187.45197
76,111.71944,187.64792
77,109.489426,188.02959
78,109.589424,188.06155
79,105.87255,187.9818
80,105.85549,188.08847
81,105.90039,188.09117
82,105.85542,188.05392
83,104.60421,188.11478
84,104.47737,187.63654
85,104.487816,187.6484
86,106.671684,188.06458
87,106.634285,188.04556
88,106.6319,188.0133
89,108.03088,189.84251
90,108.99764,191.09506
91,109.21648,191.10883
92,109.21691,191.08804
93,117.606094,189.60886
94,118.28313,191.40558
95,118.23619,191.34274
96,122.22908,194.03673
97,122.20535,194.01056
98,122.222275,193.99362
99,126.49465,194.29941
100,129.76042,194.54984
101,129.6696,194.5682
102,129.64844,194.72688
103,136.56949,194.93205
104,136.51607,195.00673
105,136.48563,194.99994
106,145.16695,197.61151
107,145.23575,197.7792
108,146.98225,198.59889
109,149.56978,198.61694
110,157.44934,198.44608
111,157.48987,198.39929
112,157.48367,198.37921
113,163.04535,199.13622
114,163.12648,198.94785
115,163.17831,198.90515
116,169.17902,200.64821
117,169.21667,200.65816
118,169.06955,200.71898
119,172.09814,198.73216
120,178.87334,201.19257
121,178.80864,201.21994
122,178.80885,201.20549
123,187.05724,198.14363
124,187.06216,197.93996
125,187.17395,197.97588
126,190.46747,195.44516
127,194.14386,194.29367
128,194.15054,194.36185
129,194.15167,194.38426
130,201.73785,192.51852
131,201.74236,192.80841
132,202.28961,193.0022
133,205.05476,191.46758
134,206.31238,190.52222
135,206.1813,190.50201
136,206.81105,190.2652
137,209.00482,189.91684
138,209.0261,189.90974
139,206.13982,189.2514
140,210.49991,185.69113
141,210.33807,185.58784
142,210.37814,185.59741
143,213.0982,185.04572
144,213.17783,183.65001
145,213.17224,183.6749
146,215.08763,183.35318
147,216.58386,181.79948
148,216.51537,181.70201
149,216.49034,181.62338
150,218.78983,177.07562
151,218.71033,177.01358
152,218.67157,176.95636
153,220.5251,173.87791
154,219.86093,173.26628
155,219.83926,173.1963
156,219.4466,170.46298
157,219.05667,168.59824
158,216.54,169.19867
159,216.51448,169.18858
160,215.7916,166.37793
161,215.56862,165.99335
162,215.60553,166.02243
163,210.5562,165.4464
164,209.64516,166.38126
165,210.07239,166.4851
166,208.44218,165.5017
167,206.74574,164.0738
168,204.32745,164.10938
169,204.2873,164.2481
170,198.66388,163.93811
171,198.63412,163.94797
172,198.6636,163.92093
173,197.48607,163.68747
174,195.03519,164.60611
175,195.13474,164.76154
176,192.09245,164.39185
177,187.91449,168.18976
178,187.97748,168.12556
179,187.9668,168.19582
180,182.87051,171.93729
181,181.96793,170.13365
182,181.95905,170.12889
183,174.76518,171.55035
184,169.28653,174.06276
185,169.163,173.6665
186,169.22092,173.28644
187,162.93686,173.88345
188,162.86557,173.51491
189,162.82277,173.40784
190,160.1301,176.15529
191,160.13818,176.25414
192,161.98814,178.1933
193,157.86069,178.33867
194,151.03888,180.81717
195,151.13002,180.60435
196,151.10799,180.73904
197,140.00076,183.17209
198,140.03647,183.13063
199,140.06847,183.18774
200,135.0585,185.53226
201,131.96016,186.00186
202,132.01508,186.02014
203,129.51932,187.31677
204,123.359695,189.02045
205,123.370056,189.0288
206,123.285385,189.00113
207,115.90751,189.26842
208,115.82331,189.14764
209,115.7548,189.24817
210,114.34818,188.5256
211,111.018456,189.11263
212,110.8871,189.16533
213,110.86579,189.1654
214,107.8185,189.7735
215,107.77051,189.52742
216,108.08795,187.79372
217,108.06633,187.78673
218,107.694534,188.64542
219,107.671646,188.46826
220,108.35391,188.76314
221,113.25479,188.31448
222,113.18266,188.29538
223,113.251305,188.26031
224,117.47862,191.97449
225,117.59935,191.9714
226,117.60774,191.93716
227,120.27765,192.16032
228,122.14624,192.5965
229,122.01117,192.73038
230,121.809265,193.27573
231,126.30879,193.90935
232,126.20731,193.839
233,126.23828,193.896
234,131.94702,194.27078
235,133.47104,194.61627
236,133.51814,194.71555
237,141.37701,197.0602
238,141.23582,197.10846
239,141.31085,197.28479
240,144.66959,196.96909
241,154.78285,197.89815
242,154.78282,197.90405
243,154.76025,197.885
244,160.72028,197.07141
245,160.6872,197.41428
246,160.63443,197.45798
