frame,x,y,ankle_angle,knee_angle,hip_flag,point_type
0,208.53198,172.92279,138.08172143662878,146.15431,0,2
1,205.6377,168.55843,142.2705659522068,142.93169,0,2
2,203.44121,168.1399,141.94931862188267,140.28406,0,2
3,203.67047,167.9977,142.3506896894576,139.74168,0,2
4,199.62057,165.30624,143.5063350861769,137.20018,0,2
5,199.97592,164.92392,145.51485982858276,133.07835,0,2
6,199.73778,164.77516,145.4948096034717,133.1289,0,2
7,199.70572,164.74263,145.51919081226924,133.10799,0,2
8,197.78976,163.92505,148.67893355570308,127.67635,0,2
9,198.1484,164.29753,148.83228329790836,127.662186,0,2
10,197.93135,164.13052,148.7739212997564,127.65728,0,2
11,196.25156,163.82143,149.29731967101515,120.107994,1,3
12,194.39026,159.86334,149.08172604737368,116.90069,1,3
13,195.19963,159.4242,149.47058810750264,116.86704,1,3
14,192.47554,168.40463,143.20133064267907,124.14036,1,3
15,192.26985,163.79865,146.6823903301288,117.768135,1,3
16,192.04239,163.70267,146.3726187154963,117.54379,1,3
17,192.21991,163.65567,146.33490908897136,117.60723,1,3
18,182.61954,174.14064,136.12260244703452,121.86625,1,3
19,182.35901,173.36765,136.3937017884254,121.51694,1,3
20,182.89621,172.24174,137.02112423989954,121.46008,1,3
21,172.9965,176.03503,132.47401426380998,115.98166,1,3
22,173.11159,179.21056,130.95156797969267,119.52395,1,3
23,173.00089,179.39534,130.66388869151274,119.86734,1,3
24,170.98961,183.6594,127.76659674822652,122.02587,1,3
25,165.7613,181.19998,125.62752966767695,122.32232,1,3
26,165.1216,180.04845,126.01504186951684,121.623886,1,3
27,165.21237,180.16878,126.01921340512905,121.718475,1,3
28,158.83461,178.07442,122.87169855300019,120.947655,1,3
29,159.00993,177.62555,123.4764248745564,120.12331,1,3
30,158.93353,177.61203,123.03270906203616,120.93894,1,3
31,152.88487,177.42172,117.03255595701603,127.94061,1,5
32,146.74231,176.45245,112.51368860704433,129.57147,1,5
33,143.6826,178.43063,111.37929116725137,129.29494,1,5
34,145.43712,178.05098,111.58658743122729,128.53331,1,5
35,142.41812,178.55681,109.12768643454496,128.92166,1,5
36,139.50972,182.06534,106.12127486547344,133.68758,1,5
37,139.56236,182.03851,106.18398760136311,133.56598,1,5
38,133.40388,184.02266,102.64403916137249,136.39302,1,5
39,133.41614,183.89929,102.7625836032073,136.48917,1,5
40,133.56355,183.90147,102.9690518810913,136.17625,1,5
41,116.84935,186.13306,93.16220433487193,142.02818,1,5
42,116.51163,186.12207,92.9468892836378,142.39754,1,5
43,116.369835,186.18408,92.81372157648643,142.55957,1,5
44,116.37115,186.07239,92.91164709198459,142.31833,1,5
45,107.93742,183.35587,83.96799975870042,149.6059,1,5
46,108.13655,183.62854,84.06234361669267,149.78696,1,5
47,108.20245,183.49255,84.11012573389056,149.74492,1,5
48,103.25814,183.35068,77.56411067018789,157.23805,1,5
49,104.48513,184.51404,79.3124500166077,156.69727,1,5
50,104.47046,184.48224,79.4617504729122,156.51921,1,5
51,103.75307,183.39508,79.76174833314289,155.66164,1,5
52,102.707596,182.25601,79.14923691956064,156.1865,1,5
53,103.03889,182.22418,79.81392074677123,155.28697,1,5
54,103.052826,182.35886,79.76156266941877,155.45503,1,5
55,101.62191,183.4549,76.30938673310001,160.68643,1,5
56,101.031906,183.49504,75.732063216437,161.00148,1,5
57,101.04788,183.53932,75.76621669324673,161.05176,1,5
58,101.40794,181.7204,76.5643755885418,158.24364,1,5
59,101.25088,180.54054,75.68249305606092,158.04784,1,5
60,103.54797,180.54393,77.38518741399032,157.3507,1,5
61,104.62138,179.5676,79.00250028952013,157.11809,1,5
62,104.68712,184.19118,78.24597831039712,159.04501,1,5
63,104.496574,183.95306,77.89992813537312,159.31953,1,5
64,104.678604,183.87106,77.9263926717561,159.3873,1,5
65,106.70957,186.55309,79.18020641702404,156.87985,1,5
66,106.74591,186.77304,79.10532195987014,157.2765,1,5
67,106.828964,186.74724,79.15487089967573,157.2898,1,5
68,115.80269,184.29782,90.38476661991159,145.34987,1,5
69,122.895515,192.02054,93.32658390479789,148.32149,1,5
70,122.70312,192.34932,92.91097964743813,148.73653,1,5
71,126.27214,190.46733,95.9596308684994,146.14395,1,5
72,126.943214,185.5695,102.64975730076601,136.31172,1,5
73,126.968155,185.7104,102.47893223318428,136.70183,1,5
74,126.9547,185.71265,102.49757576857121,136.67096,1,5
75,138.82176,184.63599,111.91009891811534,129.44226,1,5
76,136.22374,190.94975,107.69184143633737,135.67291,1,5
77,136.27475,190.99019,107.7865561644653,135.62096,1,5
78,139.31467,188.17838,108.5561442271404,132.16008,1,5
79,146.47775,186.92242,114.55199717780717,128.65111,1,5
80,146.98555,187.05508,115.10909665290842,128.50871,1,5
81,150.08015,186.50397,116.57672934575842,128.85121,1,5
82,156.97736,188.1152,119.21987004761185,129.50597,1,4
83,157.02507,187.31416,119.52944763065763,128.61224,1,4
84,154.69202,186.79979,117.57659397388018,128.31203,1,4
85,163.3771,186.38393,123.55013280714762,123.60516,1,3
86,162.50027,186.63643,122.62649974055081,124.60196,1,3
87,162.54611,186.53682,122.66479882658336,124.67751,1,3
88,167.57782,190.47218,124.70328545575295,121.27295,1,3
89,164.5968,188.54053,122.7281867615228,124.70691,1,3
90,164.34521,188.06998,122.78609502275542,124.291306,1,3
91,164.34372,188.06969,122.78018470498817,124.294174,1,3
92,168.37158,186.62778,124.25564685162043,125.90011,1,3
93,169.37872,187.55176,124.37475660144035,126.69793,1,4
94,169.65866,187.79385,124.42976453631368,126.83105,1,4
95,185.6362,191.78801,123.52759801605762,143.72313,1,4
96,185.72464,191.84746,123.6682703810376,144.68263,1,4
97,185.72781,191.8388,123.68248569313553,144.68306,1,4
98,186.61526,192.2585,122.92012308565597,146.27855,1,4
99,191.23346,193.31244,123.02482711420258,150.73586,0,2
100,191.39563,193.17375,123.0857421543793,150.5164,0,2
101,191.44493,193.35495,123.15688891519828,150.29132,0,2
102,197.41402,194.51242,123.17597803095545,156.45575,0,2
103,197.30235,194.49083,123.1639219079172,156.32394,0,2
104,197.33195,194.66045,123.12124716526311,156.40623,0,2
105,199.18106,192.07367,121.26777112217366,162.25089,0,1
106,201.05354,191.76389,121.59499808235365,162.04831,0,1
107,201.13853,191.85124,121.62509343778994,162.1591,0,1
108,202.16003,190.87608,121.102724497245,163.53236,0,1
109,202.82803,189.61157,120.38144671243255,164.43289,0,1
110,203.06099,189.52016,120.5985703792887,164.07628,0,1
111,203.06775,189.54176,120.58977867769002,164.08534,0,1
112,205.97311,187.74489,122.90175232334711,164.27917,0,1
113,205.67255,188.00775,121.68565451010909,166.63766,0,1
114,205.64958,187.96817,121.68034907440126,166.6506,0,1
115,208.0131,184.59326,125.68810086394896,162.57066,0,2
116,207.83556,185.1487,124.75522738236349,163.04826,0,2
117,207.63257,185.21141,124.67399213141339,163.00586,0,2
118,207.90561,182.9036,126.2018842757221,162.21573,0,2
119,207.46323,181.23064,128.0269270951268,159.65363,0,2
120,208.27286,181.91574,127.49595289706777,160.05853,0,2
121,208.19652,181.88548,127.40918362593786,160.11652,0,2
122,209.96346,179.36978,131.25676739365335,154.83932,0,2
123,210.033,179.53726,131.0913875515648,155.06989,0,2
124,210.01028,179.51903,131.05146054917228,155.15065,0,2
125,205.23718,176.11365,133.9831857486385,148.46881,0,2
126,206.57487,176.07446,135.1311594980092,145.26709,0,2
127,206.65735,176.23514,135.1839773149649,145.50151,0,2
128,204.20982,174.46016,135.86471230701736,143.6721,0,2
